iHS	StdDiff	meanFst	freqDiff	max_xpop
0.014279638424917045	0.0043584860371020653	0.050322342380953282	4.595894291878012e-05	0.00025764167412990616
0.0030774808132441895	0.00047959513862352892	0.089389084651725334	4.3990793742860139e-05	0.00018803826118493202
0.0035468090283784846	0.00056291063268558883	0.15752402263363616	7.1704461868652322e-05	0.00031961185072974937
0.004039621355861717	0.00065873525191843959	0.099935145644844334	0.00010154585883327691	0.0005484227645874538
0.0045593401035236318	0.00076057841250704819	0.052768225636219336	0.00013795661858779658	0.00092423332053414252
0.005118946438994295	0.00092886154923863093	0.053519132757598953	0.00019471378536365121	0.0015412754223008219
0.0057773276590682779	0.0010532447372576267	0.037713218978973152	0.00023745453841369729	0.00245931172517498
0.0062956302793523676	0.0012539807930643746	0.039434050115557964	0.0003425643430520185	0.0038477894373615961
0.0069757254525530058	0.0014993248612726218	0.029192688939185363	0.00041418901508921463	0.0057506994052538632
0.0076972423515550377	0.0018578411090920807	0.030316575325297634	0.000569593010155437	0.0083373292572028555
0.0084438955115134703	0.0022883438319509963	0.024277847533771917	0.00073584842229970464	0.011313227566111207
0.0091370898629589935	0.002849130273569847	0.02467451331710566	0.00088806082410767845	0.014607407893633432
0.0099193822285926977	0.0036878317130869288	0.021039021926932761	0.0011375104338502934	0.018420435519486016
0.010727518918871715	0.0047682188917528758	0.02023273505783792	0.0014836653193178416	0.0220042000885615
0.011706652990023146	0.0065288192542342803	0.017655741917920763	0.0016731927656368389	0.025300907097103888
0.012734289423865099	0.011941140081668066	0.017116011786322691	0.0022334769621223838	0.028578517716462293
0.013787534161122725	0.020103816298068379	0.014905826071784386	0.0026993165947742552	0.031163525173229914
0.014715333614827986	0.032852975059400644	0.014968712110605589	0.0031032393182161035	0.032851321498058007
0.015630505932747639	0.06447309322578948	0.012279958636443855	0.0041035910317931629	0.034265145810373231
0.016783705660756775	0.12526744155583305	0.01215040561217029	0.004955267692756807	0.034780455755275358
0.017835770291866213	0.15301374328018055	0.011448539592683068	0.005633720629629007	0.034445976381490107
0.0189296106806215	0.15447070233073323	0.01047388939418893	0.0075393145776873165	0.033762948010133638
0.019908626741158113	0.12103086048383881	0.0098949597423707448	0.0092726422796316557	0.03289972738707591
0.020759837305845987	0.078275024681920088	0.0093303198447320899	0.010572790986600203	0.031258262413164956
0.021590750044785029	0.04483494681379601	0.0086053233282071852	0.014792928365540411	0.029807761331093859
0.022641988601590737	0.029600012461920924	0.0078490783998188696	0.020208317419694727	0.02837787264681885
0.023770170079258288	0.021604203254874371	0.0075895275340210136	0.024831446640709794	0.026749307044431899
0.024994648218617969	0.015915855599379452	0.0067889676870292511	0.040208941908108926	0.025328142058837037
0.02654448162303303	0.012516087797065171	0.0066872157409259784	0.092262976858608375	0.023754791085901276
0.028230145245104508	0.010045417565219157	0.0059546573311387531	0.41988675376028201	0.022666483078910296
0.030086806248048398	0.0083651824314293424	0.0057986932826034083	0.16572169796165706	0.021294628268172137
0.032230469066231567	0.0070120727219171912	0.0053825111423941195	0.033678383572912057	0.020320393260081039
0.034207972938749893	0.0059050151443022	0.0051539306776779694	0.022521717196325754	0.019498503819184748
0.035749309578898006	0.0049779237542858503	0.0048091973083663345	0.016710730157811521	0.018674433453618421
0.037015445465288711	0.0042702140972176164	0.0046744732835530935	0.011006475317175218	0.017842517078568421
